,Site.ID,From (m),To (m),Depth,Material.simplified,Deposit.type,Deposit.type.conf,Mid_VI,EI_pred
281,PW13 - P4,0,1.5,0.75,Fine,Glaciolacustrine,3,45,0.126070644
282,PW13 - P5,1.5,3,2.25,Fine,Glaciolacustrine,3,45,0.120328737
283,PW13 - P5,0,1.5,0.75,Fine,Glaciolacustrine,3,45,0.126070644
284,PW13 - P5,4.6,6.1,5.35,Fine,Glaciolacustrine,3,45,0.109165879
285,PW13 - P5,3,4.6,3.8,Fine,Glaciolacustrine,3,8,0.05967952
286,PW13 - P6,0,1.5,0.75,Fine,Glaciolacustrine,3,45,0.126070644
287,PW13 - P6,4.6,9.2,6.9,Fine,Glaciolacustrine,3,0,0.046328606
288,PW13 - P6,3,4.6,3.8,Fine,Glaciolacustrine,3,8,0.05967952
289,PW13 - P6,1.5,3,2.25,Fine,Glaciolacustrine,3,45,0.120328737
290,PW17 - 22,3.1,6.1,4.6,Fine,Glaciolacustrine,3,45,0.111781499
291,PW17 - 22,1.5,3.1,2.3,Fine,Glaciolacustrine,3,8,0.0627715
292,PW17 - 22,0,1.5,0.75,Fine,Glaciolacustrine,3,45,0.126070644
293,PW17 - P1,0,1.5,0.75,Fine,Glaciolacustrine,3,87,0.243338596
294,PW17 - P1,3.1,6.1,4.6,Fine,Glaciolacustrine,3,45,0.111781499
295,PW17 - P1,1.5,3.1,2.3,Fine,Glaciolacustrine,3,45,0.12014123
296,PW17 - P4,0.6,1.5,1.05,Fine,Glaciolacustrine,3,45,0.124904067
297,PW17 - P4,1.5,3.1,2.3,Fine,Glaciolacustrine,3,8,0.0627715
298,PW17 - P5,0,1.5,0.75,Fine,Glaciolacustrine,3,45,0.126070644
299,PW17 - P5,1.5,3.1,2.3,Fine,Glaciolacustrine,3,87,0.23342134
300,PW17 - P7,2.4,3.1,2.75,Fine,Glaciolacustrine,3,0,0.053409632
301,PW17 - P7,3.1,4.6,3.85,Fine,Glaciolacustrine,3,8,0.059578887
302,PW18 - P2,1.5,6.1,3.8,Fine,Glaciolacustrine,2,0,0.14462243
