Borehole ID,VRM,Slope,Organic cover (m),Mineral soil (logs; first 3 m),Surficial materials (Rampton 1987 map),Holocene deposits,Holocene conf,Deposit.type,Deposit.type.conf,Notes
307-7-11,Smooth,Undulating,0.2,None,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,1,Near ice wedge polygons and thermokarst lakes
307-7-2,Smooth,Undulating,0.6,Sand,Glaciofluvial (ice-contact),Organics,3,Glaciofluvial,3,Near ice wedge polygons and thermokarst lakes
307-7-3,Moderately rugged,Undulating,0.8,Till,Glaciofluvial (ice-contact),Organics,3,Moraine,3,Near ice wedge polygons and thermokarst lakes
307-7-4,Smooth,Rolling,0.6,Silt/till,Glaciofluvial (ice-contact),Organics,3,Moraine,2,Near ice wedge polygons and thermokarst lakes
307-7-5,Smooth,Flat,0.1,Till/sand,Glaciofluvial (ice-contact),Organics,3,Moraine,3,Near ice wedge polygons and thermokarst lakes
307-7-6,Moderately rugged,Flat,0.2,Silt/sand,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near ice wedge polygons and thermokarst lakes
307-7-7,Smooth,Undulating,0.2,Sand/till,Glaciofluvial (ice-contact),Organics,3,Glaciofluvial,3,Near ice wedge polygons and thermokarst lakes
307-7-8,Smooth,Undulating,0.5,Sand,Glaciofluvial (ice-contact),Organics,3,Glaciofluvial,3,Near ice wedge polygons and thermokarst lakes
307-7-9,Smooth,Flat,0.2,Silt,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,3,Near ice wedge polygons and thermokarst lakes
307-8-1,Smooth,Undulating,0.3,Till,Glaciofluvial (ice-contact),Organics,3,Moraine,3,Near ice wedge polygons and thermokarst lakes
307-8-10,Moderately rugged,Undulating,0,Sand,Glaciofluvial (ice-contact),None,2,Glaciofluvial,3,Near ice wedge polygons and thermokarst lakes
307-8-2,Smooth,Undulating,0,Silt,Glaciofluvial (ice-contact),None,2,Glaciolacustrine,3,Near ice wedge polygons and thermokarst lakes
307-8-3,Smooth,Flat,0.6,Sand/till,Glaciofluvial (ice-contact),Organics,3,Glaciofluvial,3,Near ice wedge polygons and thermokarst lakes
307-8-4,Smooth,Undulating,0.2,Sand/silt,Glaciofluvial (ice-contact),Organics,3,Glaciofluvial,2,Near ice wedge polygons and thermokarst lakes
307-8-5,Smooth,Undulating,0,Sand/till,Glaciofluvial (ice-contact),None,2,Glaciofluvial,3,Near ice wedge polygons and thermokarst lakes
307-8-6,Smooth,Undulating,0.2,Till,Glaciofluvial (ice-contact),Organics,3,Moraine,3,Near ice wedge polygons and thermokarst lakes
307-8-7,Smooth,Flat,0.2,Silt,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,3,Near ice wedge polygons and thermokarst lakes
307-8-8,Smooth,Flat,0,Silt,Glaciofluvial (ice-contact),None,2,Glaciolacustrine,3,Near ice wedge polygons and thermokarst lakes
307-8-9,Smooth,Undulating,0.2,Till/silt,Glaciofluvial (ice-contact),Organics,3,Moraine,3,Near ice wedge polygons and thermokarst lakes
309-01,Moderately rugged,Undulating,0.2,Sand/clay,Glaciofluvial (ice-contact),Organics,3,Glaciofluvial,2,Near thermokarst lakes
309-02,Rugged,Undulating,0.1,Sand/gravel,Glaciofluvial (ice-contact),Organics,3,Glaciofluvial,3,Near thermokarst lakes
309-03,Rugged,Rolling,0.1,Silt/clay,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near thermokarst lakes
309-04,Moderately rugged,Flat,0.1,Gravel/till,Glaciofluvial (ice-contact),Organics,3,Glaciofluvial,2,Near thermokarst lakes
309-05,Rugged,Undulating,0.1,Gravel/till,Glaciofluvial (ice-contact),Organics,3,Glaciofluvial,2,Near thermokarst lakes
309-06,Rugged,Rolling,0.1,Gravel,Glaciofluvial (ice-contact),Organics,3,Glaciofluvial,3,Near thermokarst lakes
309-07,Moderately rugged,Undulating,0.1,Sand/clay,Glaciofluvial (ice-contact),Organics,3,Glaciofluvial,3,Near thermokarst lakes
309-08,Rugged,Undulating,0.1,Gravel/till,Glaciofluvial (ice-contact),Organics,3,Glaciofluvial,3,Near thermokarst lakes
309-09,Rugged,Undulating,0.1,Sand/till,Glaciofluvial (ice-contact),Organics,3,Glaciofluvial,2,Near thermokarst lakes
309-10,Rugged,Rolling,0.1,Gravel,Glaciofluvial (ice-contact),Organics,3,Glaciofluvial,3,Near thermokarst lakes
309-11,Moderately rugged,Moderately steep,0.1,Silt/clay,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near thermokarst lakes
309-12,Moderately rugged,Undulating,0.1,Gravel,Glaciofluvial (ice-contact),Organics,3,Glaciofluvial,3,Near thermokarst lakes
309-13,Moderately rugged,Undulating,0.1,Gravel/sand,Glaciofluvial (ice-contact),Organics,3,Glaciofluvial,3,Near thermokarst lakes
309-14,Moderately rugged,Rolling,0.1,Silt/sand,Glaciofluvial (ice-contact),Organics,3,Glaciofluvial,2,Near thermokarst lakes
309-15,Moderately rugged,Undulating,0.1,Gravel/till,Glaciofluvial (ice-contact),Organics,3,Glaciofluvial,3,Near thermokarst lakes
309-16,Moderately rugged,Rolling,0,Gravel,Glaciofluvial (ice-contact),None,2,Glaciofluvial,3,Near thermokarst lakes
309-17,Rugged,Rolling,0,Gravel,Glaciofluvial (ice-contact),None,2,Glaciofluvial,3,Near thermokarst lakes
309-18,Moderately rugged,Undulating,0,Till,Glaciofluvial (ice-contact),None,2,Moraine,3,Near thermokarst lakes
309-19,Rugged,Undulating,0,Gravel/till,Glaciofluvial (ice-contact),Colluvial,2,Glaciofluvial,2,Near thermokarst lakes
309-22,Smooth,Undulating,0.1,Silt/gravel,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near thermokarst lakes
309-23,Rugged,Undulating,0.1,Gravel/till,Glaciofluvial (ice-contact),Organics,3,Glaciofluvial,2,Near thermokarst lakes
309-24,Rugged,Rolling,0.2,Gravel/till,Glaciofluvial (ice-contact),Organics,3,Glaciofluvial,2,Near thermokarst lakes
309-25,Moderately rugged,Rolling,0.2,Silt/gravel,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near thermokarst lakes
309-26,Rugged,Rolling,0.2,Gravel,Glaciofluvial (ice-contact),Organics,3,Glaciofluvial,3,Near thermokarst lakes
