,Borehole.ID,Top.depth,Bottom.depth,Material,ASTM,Reinterpreted,Frozen,Visible.ice,Cryostructures,EI70,EI85,EI100,VRM,Slope,Organic.cover..m.,Mineral.soil..logs..first.3.m.,Surficial.materials..Rampton.1987.map.,Holocene.deposits,Holocene.conf,Deposit.type,Deposit.type.conf,Notes
1530,GSC4 - 13,1.5,3.1,Clay,CL-ML,No,Yes,,,0,0,0,Smooth,Undulating,0,Clay,Hummocky,None,2,Glaciolacustrine,3,
1531,GSC4 - 13,0,1.5,Clay,CL-ML,No,Yes,,,0,0,0,Smooth,Undulating,0,Clay,Hummocky,None,2,Glaciolacustrine,3,
1532,GSC4 - 13,4.9,6.1,Clay,CL-ML,No,Yes,,,0,0,0,Smooth,Undulating,0,Clay,Hummocky,None,2,Glaciolacustrine,3,
1534,GSC4 - 14,3.7,4.2,Clay,CL-ML,No,Yes,,,0,0,0,Smooth,Undulating,1.8,Silt,Hummocky,Organics,3,Glaciolacustrine,3,
1536,GSC4 - 14,5.5,6,Clay,CL-ML,No,Yes,,,0,0,0,Smooth,Undulating,1.8,Silt,Hummocky,Organics,3,Glaciolacustrine,3,
1540,GSC4 - 15,4.9,6.1,Clay,CL-ML,No,Yes,,,0,0,0,Smooth,Undulating,1.5,Till,Hummocky,Organics,3,Moraine,3,
1543,GSC4 - 15,3.3,3.6,Clay,CL-ML,No,Yes,,,0,0,0,Smooth,Undulating,1.5,Till,Hummocky,Organics,3,Moraine,3,
1545,GSC4 - 15,3.6,4.9,Clay,CL-ML,No,Yes,,,0,0,0,Smooth,Undulating,1.5,Till,Hummocky,Organics,3,Moraine,3,
1547,GSC4 - 16,3.5,6,Clay,CL,No,Yes,,,0,0,0,Smooth,Rolling,1.5,Clay,Hummocky,Organics,3,Glaciolacustrine,3,
1548,GSC4 - 16,1.5,3.5,Clay,CL-ML,No,Yes,,,0,0,0,Smooth,Rolling,1.5,Clay,Hummocky,Organics,3,Glaciolacustrine,3,
1551,GSC4 - 18,5.5,6,Clay,CL,No,Yes,,,0,0,0,Smooth,Undulating,1.2,Silt,Hummocky,Organics,3,Glaciolacustrine,3,
1554,GSC4 - 19,1.5,2.4,Clay,CL-ML,No,Yes,,,0,0,0,Smooth,Rolling,1.5,Clay/silt,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,3,
1575,GSC4 - 36,3.1,5.2,Clay,CL-ML,No,Yes,,,0,0,0,Smooth,Flat,0,Silt/clay,Glaciofluvial (ice-contact),None,2,Glaciolacustrine,3,
1576,GSC4 - 36,2.4,3.1,Clay,CL-ML,No,Yes,,,0,0,0,Smooth,Flat,0,Silt/clay,Glaciofluvial (ice-contact),None,2,Glaciolacustrine,3,
1580,GSC4 - 40,2.4,3,Clay,CL,No,Yes,,,0,0,0,Smooth,Flat,0,Silt/clay,Glaciofluvial (ice-contact),None,2,Glaciolacustrine,3,
1585,GSC4 - 44,0,4,Clay,CL,No,Yes,,,0,0,0,Smooth,Undulating,0,Clay,Glaciofluvial (ice-contact),None,2,Glaciolacustrine,3,
1592,GSC4 - 5,4.9,6.1,Clay,CL-ML,No,Yes,,,0,0,0,Smooth,Undulating,0,Clay,Hummocky,None,2,Glaciolacustrine,3,
1593,GSC4 - 5,1.8,3.4,Clay,CL-ML,No,Yes,,,0,0,0,Smooth,Undulating,0,Clay,Hummocky,None,2,Glaciolacustrine,3,
1594,GSC4 - 5,0,1.8,Clay,CL-ML,No,Yes,,,0,0,0,Smooth,Undulating,0,Clay,Hummocky,None,2,Glaciolacustrine,3,
1599,GSC4 - 55,1.5,1.9,Clay,CL-ML,No,Yes,,,0,0,0,Smooth,Rolling,0.9,Clay,Hummocky,Organics,3,Glaciolacustrine,3,
1601,GSC4 - 6,5.5,6.1,Clay,CL-ML,No,Yes,,,0,0,0,Smooth,Undulating,0.3,Clay,Hummocky,Organics,3,Glaciolacustrine,3,
1603,GSC4 - 6,0.3,5.5,Clay,CL-ML,No,Yes,,,0,0,0,Smooth,Undulating,0.3,Clay,Hummocky,Organics,3,Glaciolacustrine,3,
1605,GSC4 - 7,1.2,3.1,Clay,CL-ML,No,Yes,,,0,0,0,Smooth,Undulating,1.2,Clay,Hummocky,Organics,3,Glaciolacustrine,3,
1608,GSC4 - 8,5.2,6.1,Clay,CL-ML,No,Yes,,,0,0,0,Smooth,Undulating,0.2,Silt/clay,Hummocky,Organics,3,Glaciolacustrine,3,
1609,GSC4 - 8,3.1,5.2,Clay,CL-ML,No,Yes,,,0,0,0,Smooth,Undulating,0.2,Silt/clay,Hummocky,Organics,3,Glaciolacustrine,3,
1611,GSC4 - 8,1.5,3.1,Clay,CL-ML,No,Yes,,,0,0,0,Smooth,Undulating,0.2,Silt/clay,Hummocky,Organics,3,Glaciolacustrine,3,
1615,GSC4 - 9,1.3,3.1,Clay,CL-ML,No,Yes,,,0,0,0,Smooth,Undulating,1.3,Clay,Hummocky,Organics,3,Glaciolacustrine,3,
1645,I401A - 13,11.9,13.7,Clay,CL,No,Yes,,,0,0,0,Rugged,Undulating,0,Sand/till,Colluvial,Colluvial,2,Moraine,2,
1696,I401A - 33,7.2,7.6,Clay,CL-ML,No,Yes,,,0,0,0,Rugged,Undulating,0,Silt,Colluvial,Colluvial,2,Glaciolacustrine,2,
1698,I401A - 33,5.9,7.2,Clay,CL-ML,No,Yes,,,0,0,0,Rugged,Undulating,0,Silt,Colluvial,Colluvial,2,Glaciolacustrine,2,
1699,I401A - 33,4.4,5.9,Clay,CL-ML,No,Yes,,,0,0,0,Rugged,Undulating,0,Silt,Colluvial,Colluvial,2,Glaciolacustrine,2,
1700,I401A - 34,2.3,3,Clay,CL-ML,No,Yes,,,0,0,0,Rugged,Undulating,0,Till/clay,Colluvial,Colluvial,1,Glaciolacustrine,2,
1701,I401A - 34,3,3.8,Clay,CL-ML,No,Yes,,,0,0,0,Rugged,Undulating,0,Till/clay,Colluvial,Colluvial,1,Glaciolacustrine,2,
